Date,BTC,WING,NVDA
2023-01-31,0.33061934149736905,0.17191319224037785,0.31100215560010175
2023-02-28,3.487102608390275e-4,0.07229003672732165,0.17253145658090027
2023-03-31,0.2072684129398986,0.07590866908893044,0.1795366164676808
2023-04-30,0.02737346118121181,0.0862167581226462,-0.00100854446078723
2023-05-31,-0.07258288882309545,-0.00282078121724065,0.3100082682994666
2023-06-30,0.11304112741980456,0.004004884476057,0.1117297022228144
2023-07-31,-0.04178117992578799,-0.17170652706546446,0.09953067797012057
2023-08-31,-0.1197419963413393,-0.04689333914897972,0.05467405424969421
2023-09-30,0.0391904722350306,0.1129016321526148,-0.12621876793176665
2023-10-31,0.2511628976951525,0.01616103600736954,-0.06454620036019477
2023-11-30,0.08418736858720596,0.27489036194489685,0.13705025745218746
2023-12-31,0.11396562667992705,0.06530260569629467,0.05726301086287976
2024-01-31,0.00748209089339304,0.091305593418421,0.21705909841447
2024-02-29,0.3626749169775404,0.22218254031303464,0.2513884267436336
2024-03-31,0.1532473791553255,0.04339272395838028,0.1329397410505163
2024-04-30,-0.16246525942897286,0.04897216164684743,-0.04474659178960957
2024-05-31,0.10709750645077835,-0.04228460795658061,0.2381276462369467
2024-06-30,-0.07398520766284587,0.13672041631504014,0.11950864466220268
2024-07-31,0.03049717096408765,-0.12263319385842432,-0.05422016560970616
2024-08-31,-0.09148523627827164,0.03288191368856772,0.01988314116500167
2024-09-30,0.0713241376079036,0.07475525023989124,0.01727790464638264
2024-10-31,0.10321337844136172,-0.3689940633511614,0.08912268393777317
2024-11-30,0.31745030445482325,0.13429189286254375,0.04052066958034208
2024-12-31,-0.03181097458519408,-0.14568012611169862,-0.02899317593651542
2025-01-31,0.09173180475320124,0.04707958061550933,-0.11192668709681722
2025-02-11,-0.05492090842855252,0.03489920780580866,0.10655083632234452
